FULL NAME,TEAM,POS,AGE,GP,MPG,FTA,FT%,2PA,2P%,3PA,3P%,TrueSP,PointsPG,ReboundsPG,AssistsPG,StealsPG,BlocksPG,TurnOversPG
Marvin Bagley III,Sac,F,22.18,43,25.9,134,0.575,382,0.55,108,0.343,0.554,14.1,7.4,1,0.49,0.49,1.37
Joe Harris,Bro,G-F,29.69,69,31,63,0.778,263,0.555,444,0.475,0.663,14.1,3.6,1.9,0.68,0.2,0.9
Luguentz Dort,Okc,G,22.08,52,29.7,164,0.744,310,0.432,329,0.343,0.513,14,3.6,1.7,0.87,0.37,1.52
Rui Hachimura,Was,F,23.27,57,31.5,161,0.77,511,0.519,137,0.328,0.549,13.8,5.5,1.4,0.79,0.12,1.19
LaMarcus Aldridge,San,C-F,35.83,21,25.9,37,0.838,173,0.509,75,0.36,0.545,13.7,4.5,1.7,0.38,0.86,0.95
Darius Bazley,Okc,F-G,20.93,55,31.2,178,0.702,404,0.47,286,0.29,0.491,13.7,7.2,1.8,0.53,0.45,2.22
Chris Boucher,Tor,F-C,28.35,60,24.2,193,0.788,325,0.609,235,0.383,0.634,13.6,6.7,1.1,0.58,1.85,0.77
Lauri Markkanen,Chi,F-C,23.99,51,25.8,92,0.826,224,0.585,296,0.402,0.62,13.6,5.3,0.9,0.51,0.29,1.02
Doug McDermott,Ind,F,29.37,66,24.5,98,0.816,379,0.641,286,0.388,0.635,13.6,3.3,1.3,0.3,0.09,0.8
Mikal Bridges,Pho,F,24.71,72,32.6,131,0.84,353,0.649,315,0.425,0.668,13.5,4.3,2.1,1.06,0.88,0.81
Montrezl Harrell,Lal,F-C,27.3,69,22.9,256,0.707,593,0.632,10,0,0.65,13.5,6.2,1.1,0.67,0.71,1.07
Carmelo Anthony,Por,F,36.97,69,24.5,156,0.891,452,0.429,325,0.409,0.548,13.4,3.1,1.5,0.67,0.55,0.88
Goran Dragic,Mia,G,35.03,50,26.7,122,0.828,310,0.481,244,0.373,0.553,13.4,3.3,4.4,0.66,0.14,2.38
Josh Jackson,Det,G-F,24.26,62,25.2,218,0.729,451,0.486,257,0.3,0.515,13.4,4.1,2.3,0.85,0.76,2.29
Marcus Morris Sr.,Lac,F,31.7,57,26.3,89,0.82,288,0.472,296,0.473,0.614,13.4,4.1,1,0.6,0.26,1
Danilo Gallinari,Atl,F,32.77,51,24,174,0.925,221,0.466,254,0.406,0.613,13.3,4.2,1.5,0.59,0.2,0.84
Jarrett Allen,Cle,C,23.07,51,30.3,229,0.69,398,0.623,19,0.316,0.649,13.2,9.9,1.7,0.47,1.41,1.53
Duncan Robinson,Mia,F,27.07,72,31.4,75,0.827,104,0.625,613,0.408,0.628,13.1,3.5,1.8,0.6,0.28,1.13
Marcus Smart,Bos,G,27.2,48,32.9,162,0.79,228,0.482,282,0.33,0.539,13.1,3.5,5.7,1.5,0.5,2
Evan Fournier,Bos,G-F,28.55,16,29.5,14,0.714,77,0.429,95,0.463,0.584,13,3.3,3.1,1.25,0.63,1.19
Tyrese Haliburton,Sac,G,21.21,58,30.1,56,0.857,323,0.529,296,0.409,0.585,13,3,5.3,1.33,0.48,1.59
Shake Milton,Phi,G-F,24.64,63,23.2,176,0.83,464,0.494,203,0.35,0.549,13,2.3,3.1,0.62,0.29,1.63
